,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,PublicHoliday,EasternHolidy,Christmas,Year,Month,DayOfYear,OrdinalDay,StoreTypeA,StoreTypeB,StoreTypeC,AssortmentNum,Promo2,CompetitionOpen,Promo2Begin
941,1,2,2013-01-01,0,0,0,0,a,1,1,0,0,2013,1,1,734869,0,0,1,1,0,1,0
940,1,3,2013-01-02,5530,668,1,0,0,1,0,0,0,2013,1,2,734870,0,0,1,1,0,1,0
939,1,4,2013-01-03,4327,578,1,0,0,1,0,0,0,2013,1,3,734871,0,0,1,1,0,1,0
938,1,5,2013-01-04,4486,619,1,0,0,1,0,0,0,2013,1,4,734872,0,0,1,1,0,1,0
937,1,6,2013-01-05,4997,635,1,0,0,1,0,0,0,2013,1,5,734873,0,0,1,1,0,1,0
936,1,7,2013-01-06,0,0,0,0,0,1,0,0,0,2013,1,6,734874,0,0,1,1,0,1,0
935,1,1,2013-01-07,7176,785,1,1,0,1,0,0,0,2013,1,7,734875,0,0,1,1,0,1,0
934,1,2,2013-01-08,5580,654,1,1,0,1,0,0,0,2013,1,8,734876,0,0,1,1,0,1,0
933,1,3,2013-01-09,5471,626,1,1,0,1,0,0,0,2013,1,9,734877,0,0,1,1,0,1,0
932,1,4,2013-01-10,4892,615,1,1,0,1,0,0,0,2013,1,10,734878,0,0,1,1,0,1,0
931,1,5,2013-01-11,4881,592,1,1,0,1,0,0,0,2013,1,11,734879,0,0,1,1,0,1,0
930,1,6,2013-01-12,4952,646,1,0,0,0,0,0,0,2013,1,12,734880,0,0,1,1,0,1,0
929,1,7,2013-01-13,0,0,0,0,0,0,0,0,0,2013,1,13,734881,0,0,1,1,0,1,0
928,1,1,2013-01-14,4717,616,1,0,0,0,0,0,0,2013,1,14,734882,0,0,1,1,0,1,0
927,1,2,2013-01-15,3900,512,1,0,0,0,0,0,0,2013,1,15,734883,0,0,1,1,0,1,0
926,1,3,2013-01-16,4008,530,1,0,0,0,0,0,0,2013,1,16,734884,0,0,1,1,0,1,0
